accuracy,precision,recall,f1,round,attack_active
0.5,0.5,1.0,0.6666666666666666,0,False
0.5605263157894737,0.5322128851540616,1.0,0.6946983546617916,1,False
0.7052631578947368,0.6423357664233577,0.9263157894736842,0.7586206896551724,2,False
0.8263157894736842,0.8163265306122449,0.8421052631578947,0.8290155440414507,3,False
0.8052631578947368,0.7843137254901961,0.8421052631578947,0.8121827411167513,4,False
0.7684210526315789,0.7217391304347827,0.8736842105263158,0.7904761904761904,5,False
0.781578947368421,0.9022556390977443,0.631578947368421,0.7430340557275542,6,False
0.8131578947368421,0.825136612021858,0.7947368421052632,0.8096514745308311,7,False
0.8157894736842105,0.8260869565217391,0.8,0.8128342245989305,8,False
0.8184210526315789,0.8418079096045198,0.7842105263157895,0.8119891008174387,9,False
0.8210526315789474,0.8505747126436781,0.7789473684210526,0.8131868131868132,10,False
0.8131578947368421,0.8115183246073299,0.8157894736842105,0.8136482939632546,11,False
0.8157894736842105,0.8947368421052632,0.7157894736842105,0.7953216374269005,12,False
0.8,0.8352941176470589,0.7473684210526316,0.7888888888888889,13,False
0.8052631578947368,0.8372093023255814,0.7578947368421053,0.7955801104972375,14,False
0.7868421052631579,0.7443946188340808,0.8736842105263158,0.8038740920096852,15,False
0.7947368421052632,0.7592592592592593,0.8631578947368421,0.8078817733990148,16,False
0.7078947368421052,0.9647058823529412,0.43157894736842106,0.5963636363636363,17,False
0.8026315789473685,0.7918781725888325,0.8210526315789474,0.8062015503875969,18,False
0.7842105263157895,0.7621359223300971,0.8263157894736842,0.7929292929292929,19,False
0.7921052631578948,0.9172932330827067,0.6421052631578947,0.7554179566563467,20,False
0.8052631578947368,0.7989690721649485,0.8157894736842105,0.8072916666666666,21,False
0.7947368421052632,0.917910447761194,0.6473684210526316,0.7592592592592593,22,False
0.7710526315789473,0.7330316742081447,0.8526315789473684,0.7883211678832117,23,False
0.7736842105263158,0.7407407407407407,0.8421052631578947,0.7881773399014779,24,False
0.7921052631578948,0.9111111111111111,0.6473684210526316,0.7569230769230769,25,False
0.6973684210526315,0.6306620209059234,0.9526315789473684,0.7589098532494759,26,False
0.7473684210526316,0.9272727272727272,0.5368421052631579,0.68,27,False
0.7552631578947369,0.944954128440367,0.5421052631578948,0.6889632107023411,28,False
0.7710526315789473,0.8705035971223022,0.6368421052631579,0.7355623100303952,29,False
0.8,0.8851351351351351,0.6894736842105263,0.7751479289940828,30,False
0.8263157894736842,0.9133333333333333,0.7210526315789474,0.8058823529411765,31,False
0.8289473684210527,0.874251497005988,0.7684210526315789,0.8179271708683473,32,False
0.8184210526315789,0.8457142857142858,0.7789473684210526,0.810958904109589,33,False
0.8210526315789474,0.8719512195121951,0.7526315789473684,0.807909604519774,34,False
0.8,0.9071428571428571,0.6684210526315789,0.7696969696969697,35,False
0.7947368421052632,0.868421052631579,0.6947368421052632,0.7719298245614035,36,False
0.7605263157894737,0.9230769230769231,0.5684210526315789,0.7035830618892508,37,False
0.8,0.9014084507042254,0.6736842105263158,0.7710843373493976,38,False
0.8026315789473685,0.8709677419354839,0.7105263157894737,0.782608695652174,39,False
0.7868421052631579,0.7534883720930232,0.8526315789473684,0.8,40,False
0.7868421052631579,0.9291338582677166,0.6210526315789474,0.7444794952681388,41,False
0.7921052631578948,0.9236641221374046,0.6368421052631579,0.7538940809968847,42,False
0.8,0.785,0.8263157894736842,0.8051282051282052,43,False
