accuracy,precision,recall,f1,round,attack_active
0.5105263157894737,0.5053191489361702,1.0,0.6713780918727915,0,False
0.7315789473684211,0.6679389312977099,0.9210526315789473,0.7743362831858407,1,False
0.8157894736842105,0.8191489361702128,0.8105263157894737,0.8148148148148148,2,False
0.8157894736842105,0.9411764705882353,0.6736842105263158,0.7852760736196319,3,False
0.7763157894736842,0.9565217391304348,0.5789473684210527,0.7213114754098361,4,False
0.7894736842105263,0.8928571428571429,0.6578947368421053,0.7575757575757576,5,False
0.8026315789473685,0.8859060402684564,0.6947368421052632,0.7787610619469026,6,False
0.7868421052631579,0.7632850241545893,0.8315789473684211,0.7959697732997482,7,False
0.7842105263157895,0.9285714285714286,0.6157894736842106,0.740506329113924,8,False
0.8131578947368421,0.8742138364779874,0.7315789473684211,0.7965616045845272,9,False
0.7552631578947369,0.6995884773662552,0.8947368421052632,0.7852193995381063,10,False
0.8289473684210527,0.874251497005988,0.7684210526315789,0.8179271708683473,11,False
0.75,0.9611650485436893,0.5210526315789473,0.6757679180887372,12,False
0.7842105263157895,0.9354838709677419,0.6105263157894737,0.7388535031847133,13,False
0.8315789473684211,0.8705882352941177,0.7789473684210526,0.8222222222222222,14,False
0.8210526315789474,0.9013157894736842,0.7210526315789474,0.8011695906432749,15,False
0.781578947368421,0.7535545023696683,0.8368421052631579,0.7930174563591023,16,False
0.781578947368421,0.9083969465648855,0.6263157894736842,0.7414330218068536,17,False
0.7894736842105263,0.775,0.8157894736842105,0.7948717948717948,18,False
0.6921052631578948,0.9620253164556962,0.4,0.5650557620817844,19,False
0.7421052631578947,0.9259259259259259,0.5263157894736842,0.6711409395973155,20,False
0.8,0.8238636363636364,0.7631578947368421,0.7923497267759563,21,False
0.7973684210526316,0.869281045751634,0.7,0.7755102040816326,22,False
0.8157894736842105,0.879746835443038,0.7315789473684211,0.7988505747126436,23,False
0.7552631578947369,0.7136563876651982,0.8526315789473684,0.7769784172661871,24,False
0.75,0.9357798165137615,0.5368421052631579,0.6822742474916388,25,False
0.7526315789473684,0.692,0.9105263157894737,0.7863636363636364,26,False
0.8,0.8392857142857143,0.7421052631578947,0.7877094972067039,27,False
0.8157894736842105,0.8409090909090909,0.7789473684210526,0.8087431693989071,28,False
0.7894736842105263,0.8353658536585366,0.7210526315789474,0.7740112994350282,29,False
0.8157894736842105,0.8896103896103896,0.7210526315789474,0.7965116279069767,30,False
0.7421052631578947,0.684,0.9,0.7772727272727272,31,False
0.8105263157894737,0.8352272727272727,0.7736842105263158,0.8032786885245902,32,False
0.7657894736842106,0.7112970711297071,0.8947368421052632,0.7925407925407926,33,False
0.7894736842105263,0.7350427350427351,0.9052631578947369,0.8113207547169812,34,False
0.8157894736842105,0.8703703703703703,0.7421052631578947,0.8011363636363636,35,False
0.7973684210526316,0.7810945273631841,0.8263157894736842,0.80306905370844,36,False
0.7605263157894737,0.7071129707112971,0.8894736842105263,0.7878787878787878,37,False
0.7368421052631579,0.9326923076923077,0.5105263157894737,0.6598639455782312,38,False
0.8078947368421052,0.8726114649681529,0.7210526315789474,0.7896253602305475,39,False
0.7289473684210527,0.967741935483871,0.47368421052631576,0.6360424028268551,40,False
0.8105263157894737,0.8430232558139535,0.7631578947368421,0.8011049723756906,41,False
0.8078947368421052,0.8726114649681529,0.7210526315789474,0.7896253602305475,42,False
0.8263157894736842,0.8924050632911392,0.7421052631578947,0.8103448275862069,43,False
0.8131578947368421,0.8606060606060606,0.7473684210526316,0.8,44,False
0.7973684210526316,0.869281045751634,0.7,0.7755102040816326,45,False
0.8105263157894737,0.9154929577464789,0.6842105263157895,0.7831325301204819,46,False
