experiment,stealth_pre_attack_accuracy,stealth_pre_attack_round_single,stealth_pre_attack_accuracy_avg5,stealth_attack_phase_avg_accuracy,stealth_attack_phase_min_accuracy,stealth_attack_phase_max_accuracy,stealth_max_accuracy_drop,stealth_max_accuracy_drop_single,stealth_max_accuracy_drop_avg5,stealth_max_drop_round,stealth_avg_accuracy_drop,stealth_avg_accuracy_drop_single,stealth_avg_accuracy_drop_avg5,stealth_accuracy_variance,stealth_attack_phase_rounds,stealth_is_stealthy,durability_peak_backdoor_accuracy,durability_final_backdoor_accuracy,durability_attack_start,durability_attack_end,durability_lifespan_50,durability_lifespan_40,durability_lifespan_30,durability_lifespan_25,durability_stab_threshold_50,durability_stab_threshold_40,durability_stab_threshold_30,durability_stab_threshold_25,durability_stab_threshold_20,durability_stab_volatility_10,durability_stab_volatility_05,durability_stab_volatility_03,durability_post_attack_volatility,durability_impact_rounds_above_50,durability_impact_rounds_above_40,durability_impact_rounds_above_30,durability_impact_rounds_above_25,durability_post_attack_rounds,durability_post_attack_avg_ba,durability_post_attack_min_ba,durability_post_attack_max_ba,durability_stab_window,durability_stab_tolerance
EX_SET1_C(1)_20260322_152605,0.7894736842105263,49,0.7531578947368421,0.7789473684210525,0.6736842105263158,0.8289473684210527,0.11578947368421055,0.11578947368421055,0.07947368421052636,69,0.0169779286926995,0.0169779286926995,0.004736842105263161,0.032194297023688714,31,False,0.6024096385542169,0.27710843373493976,50,80,0,0,0,0,20,20,71,119,-1,52,405,550,0.06265656976670994,3,13,144,306,919,0.2238027190371934,0.04819277108433735,0.4819277108433735,20,0.8
EX_SET1_C(2)_20260322_162024,0.7868421052631579,49,0.7673684210526316,0.7835314091680815,0.7078947368421052,0.8236842105263158,0.07894736842105265,0.07894736842105265,0.059473684210526345,72,0.011375212224108665,0.011375212224108665,0.005314091680814942,0.027474219779812806,31,False,0.5301204819277109,0.20481927710843373,50,80,0,0,0,2,20,20,23,137,-1,20,480,-1,0.06348919227587378,2,11,164,378,919,0.23058064685291768,0.03614457831325301,0.5542168674698795,20,0.8
EX_SET1_C(3)_20260322_171421,0.8289473684210527,49,0.8178947368421052,0.7864176570458404,0.7026315789473684,0.8263157894736842,0.12631578947368427,0.12631578947368427,0.11526315789473685,58,0.042529711375212255,0.042529711375212255,0.032139219015280114,0.03271421888653631,31,False,0.5662650602409639,0.18072289156626506,50,80,0,0,0,0,20,20,20,520,-1,20,320,634,0.05903109664482935,5,14,140,355,919,0.23471033207913264,0.04819277108433735,0.5542168674698795,20,0.8
EX_SET1_C(4)_20260322_215216,0.8105263157894737,49,0.7852631578947368,0.7797962648556876,0.7289473684210527,0.8289473684210527,0.08157894736842097,0.08157894736842097,0.0563157894736841,71,0.032258064516129,0.032258064516129,0.014278438030560234,0.028886595670074528,31,False,0.5301204819277109,0.13253012048192772,50,80,0,0,0,0,20,20,23,34,733,28,252,812,0.06287399966432969,1,17,134,302,919,0.2226228089725605,0.060240963855421686,0.46987951807228917,20,0.8
EX_SET1_C(5)_20260322_224618,0.8,49,0.8005263157894736,0.7812393887945671,0.7078947368421052,0.8131578947368421,0.0921052631578948,0.0921052631578948,0.0926315789473684,70,0.01960950764006795,0.01960950764006795,0.020067911714770757,0.02354483292904094,31,False,0.5542168674698795,0.1686746987951807,50,80,0,0,1,1,20,20,20,252,602,38,199,700,0.061364247672619915,2,11,129,316,919,0.22177065170365903,0.04819277108433735,0.5421686746987951,20,0.8
EX_SET1_D(1)_20260322_233932,0.7894736842105263,49,0.7905263157894737,0.78276740237691,0.7131578947368421,0.8236842105263158,0.07631578947368423,0.07631578947368423,0.07736842105263164,50,0.012563667232597633,0.012563667232597633,0.013310696095076445,0.025818446933677817,31,False,0.46987951807228917,0.10843373493975904,50,80,0,0,0,0,20,20,42,100,-1,33,629,-1,0.06664459552516674,0,11,115,267,919,0.213249079014644,0.03614457831325301,0.4819277108433735,20,0.8
EX_SET1_D(2)_20260323_003335,0.7947368421052632,49,0.8,0.7784380305602715,0.6947368421052632,0.8184210526315789,0.09999999999999998,0.09999999999999998,0.10526315789473684,69,0.019609507640067934,0.019609507640067934,0.023599320882852326,0.028806830737786,31,False,0.5421686746987951,0.2891566265060241,50,80,0,0,0,0,20,20,22,157,-1,20,279,-1,0.06143598716612136,1,8,132,337,919,0.2255332537986549,0.024096385542168676,0.4457831325301205,20,0.8
EX_SET1_D(3)_20260323_012712,0.8184210526315789,49,0.7784210526315789,0.7740237691001697,0.7,0.8184210526315789,0.11842105263157898,0.11842105263157898,0.07842105263157895,54,0.044397283531409176,0.044397283531409176,0.017079796264855677,0.03703422299565508,31,False,0.5421686746987951,0.2289156626506024,50,80,0,0,0,0,20,21,33,34,-1,32,346,780,0.0635516670204541,3,20,140,341,919,0.2295187277947481,0.060240963855421686,0.46987951807228917,20,0.8
EX_SET1_D(4)_20260323_022051,0.7736842105263158,49,0.7863157894736842,0.7831918505942274,0.6868421052631579,0.8342105263157895,0.08684210526315783,0.08684210526315783,0.09947368421052627,51,0.00721561969439727,0.00721561969439727,0.01241086587436332,0.028928841115242278,31,False,0.43373493975903615,0.24096385542168675,50,80,0,0,1,1,20,20,42,510,-1,54,404,-1,0.06698558494178626,0,22,214,442,919,0.24252395872936797,0.07228915662650602,0.4819277108433735,20,0.8
EX_SET1_D(5)_20260323_031405,0.8026315789473685,49,0.8005263157894736,0.7853989813242782,0.718421052631579,0.8184210526315789,0.08421052631578951,0.08421052631578951,0.08210526315789468,54,0.019694397283531433,0.019694397283531433,0.01820033955857381,0.02492684318948317,31,False,0.5301204819277109,0.27710843373493976,50,80,0,0,8,8,20,20,40,68,-1,61,469,-1,0.06362004579105994,1,15,164,388,919,0.23425147816510877,0.04819277108433735,0.4939759036144578,20,0.8
