accuracy,precision,recall,f1,round,attack_active
0.5473684210526316,0.525,0.9947368421052631,0.6872727272727273,0,False
0.6052631578947368,0.5595238095238095,0.9894736842105263,0.714828897338403,1,False
0.7789473684210526,0.728448275862069,0.8894736842105263,0.8009478672985783,2,False
0.8026315789473685,0.8807947019867549,0.7,0.7800586510263929,3,False
0.8131578947368421,0.8148148148148148,0.8105263157894737,0.8126649076517151,4,False
0.6526315789473685,1.0,0.30526315789473685,0.46774193548387094,5,False
0.7894736842105263,0.7696078431372549,0.8263157894736842,0.7969543147208121,6,False
0.7631578947368421,0.717391304347826,0.868421052631579,0.7857142857142857,7,False
0.7868421052631579,0.8044692737430168,0.7578947368421053,0.7804878048780488,8,False
0.7789473684210526,0.7523809523809524,0.8315789473684211,0.79,9,False
0.7447368421052631,0.6781609195402298,0.9315789473684211,0.7849223946784922,10,False
0.8,0.7766990291262136,0.8421052631578947,0.8080808080808081,11,False
0.7947368421052632,0.7592592592592593,0.8631578947368421,0.8078817733990148,12,False
0.718421052631579,0.9662921348314607,0.45263157894736844,0.6164874551971327,13,False
0.7947368421052632,0.7692307692307693,0.8421052631578947,0.8040201005025126,14,False
0.7868421052631579,0.815028901734104,0.7421052631578947,0.7768595041322314,15,False
0.8052631578947368,0.7871287128712872,0.8368421052631579,0.8112244897959183,16,False
0.7921052631578948,0.8881118881118881,0.6684210526315789,0.7627627627627628,17,False
0.7921052631578948,0.7788944723618091,0.8157894736842105,0.7969151670951157,18,False
0.8026315789473685,0.8248587570621468,0.7684210526315789,0.7956403269754768,19,False
0.7894736842105263,0.8353658536585366,0.7210526315789474,0.7740112994350282,20,False
0.8,0.7714285714285715,0.8526315789473684,0.81,21,False
0.7473684210526316,0.6821705426356589,0.9263157894736842,0.7857142857142857,22,False
0.8026315789473685,0.7601809954751131,0.8842105263157894,0.8175182481751825,23,False
0.7973684210526316,0.7839195979899497,0.8210526315789474,0.8020565552699229,24,False
0.8105263157894737,0.8072916666666666,0.8157894736842105,0.8115183246073299,25,False
0.7315789473684211,0.9583333333333334,0.4842105263157895,0.6433566433566433,26,False
0.781578947368421,0.8543046357615894,0.6789473684210526,0.7565982404692082,27,False
0.7921052631578948,0.8992805755395683,0.6578947368421053,0.7598784194528876,28,False
0.7842105263157895,0.7673267326732673,0.8157894736842105,0.7908163265306123,29,False
0.8105263157894737,0.8430232558139535,0.7631578947368421,0.8011049723756906,30,False
0.7789473684210526,0.9344262295081968,0.6,0.7307692307692307,31,False
0.631578947368421,0.5791139240506329,0.9631578947368421,0.7233201581027668,32,False
0.7605263157894737,0.9380530973451328,0.5578947368421052,0.6996699669966997,33,False
0.8,0.8518518518518519,0.7263157894736842,0.7840909090909091,34,False
0.7421052631578947,0.9339622641509434,0.5210526315789473,0.668918918918919,35,False
0.6973684210526315,0.987012987012987,0.4,0.5692883895131086,36,False
0.7947368421052632,0.7947368421052632,0.7947368421052632,0.7947368421052632,37,False
0.7736842105263158,0.7280701754385965,0.8736842105263158,0.7942583732057417,38,False
0.7868421052631579,0.7883597883597884,0.7842105263157895,0.7862796833773087,39,False
0.7842105263157895,0.8461538461538461,0.6947368421052632,0.7630057803468208,40,False
0.7631578947368421,0.9166666666666666,0.5789473684210527,0.7096774193548387,41,False
0.7868421052631579,0.7883597883597884,0.7842105263157895,0.7862796833773087,42,False
0.7210526315789474,0.9772727272727273,0.45263157894736844,0.6187050359712231,43,False
0.8184210526315789,0.8622754491017964,0.7578947368421053,0.8067226890756303,44,False
0.7868421052631579,0.8811188811188811,0.6631578947368421,0.7567567567567568,45,False
0.7947368421052632,0.8888888888888888,0.6736842105263158,0.7664670658682635,46,False
