accuracy,precision,recall,f1,round,attack_active
0.7394736842105263,0.8956521739130435,0.5421052631578948,0.6754098360655738,0,False
0.6763157894736842,0.6120401337792643,0.9631578947368421,0.7484662576687117,1,False
0.7921052631578948,0.7557603686635944,0.8631578947368421,0.8058968058968059,2,False
0.7447368421052631,0.6823529411764706,0.9157894736842105,0.7820224719101123,3,False
0.7842105263157895,0.9153846153846154,0.6263157894736842,0.74375,4,False
0.8131578947368421,0.8789808917197452,0.7263157894736842,0.7953890489913544,5,False
0.8078947368421052,0.8774193548387097,0.7157894736842105,0.7884057971014493,6,False
0.8394736842105263,0.9056603773584906,0.7578947368421053,0.8252148997134671,7,False
0.8210526315789474,0.8860759493670886,0.7368421052631579,0.8045977011494253,8,False
0.8105263157894737,0.9041095890410958,0.6947368421052632,0.7857142857142857,9,False
0.7973684210526316,0.7810945273631841,0.8263157894736842,0.80306905370844,10,False
0.718421052631579,0.9560439560439561,0.45789473684210524,0.6192170818505338,11,False
0.718421052631579,0.9882352941176471,0.4421052631578947,0.610909090909091,12,False
0.7947368421052632,0.9057971014492754,0.6578947368421053,0.7621951219512195,13,False
0.7078947368421052,0.9647058823529412,0.43157894736842106,0.5963636363636363,14,False
0.7631578947368421,0.7032520325203252,0.9105263157894737,0.7935779816513762,15,False
0.7263157894736842,0.9574468085106383,0.47368421052631576,0.6338028169014085,16,False
0.7684210526315789,0.9180327868852459,0.5894736842105263,0.717948717948718,17,False
0.7078947368421052,0.9647058823529412,0.43157894736842106,0.5963636363636363,18,False
0.8210526315789474,0.8465909090909091,0.7842105263157895,0.8142076502732241,19,False
0.8210526315789474,0.8674698795180723,0.7578947368421053,0.8089887640449438,20,False
0.7947368421052632,0.8414634146341463,0.7263157894736842,0.7796610169491526,21,False
0.7921052631578948,0.7655502392344498,0.8421052631578947,0.8020050125313283,22,False
0.781578947368421,0.7336244541484717,0.8842105263157894,0.801909307875895,23,False
0.7947368421052632,0.8010752688172043,0.7842105263157895,0.7925531914893617,24,False
0.7736842105263158,0.9193548387096774,0.6,0.7261146496815286,25,False
0.8105263157894737,0.8933333333333333,0.7052631578947368,0.788235294117647,26,False
0.7578947368421053,0.9454545454545454,0.5473684210526316,0.6933333333333334,27,False
0.8078947368421052,0.8823529411764706,0.7105263157894737,0.7871720116618076,28,False
0.7947368421052632,0.7978723404255319,0.7894736842105263,0.7936507936507936,29,False
0.7973684210526316,0.7897435897435897,0.8105263157894737,0.8,30,False
0.8078947368421052,0.838150289017341,0.7631578947368421,0.7988980716253443,31,False
0.8052631578947368,0.9027777777777778,0.6842105263157895,0.7784431137724551,32,False
0.7973684210526316,0.8896551724137931,0.6789473684210526,0.7701492537313432,33,False
0.7578947368421053,0.9298245614035088,0.5578947368421052,0.6973684210526315,34,False
0.8184210526315789,0.8418079096045198,0.7842105263157895,0.8119891008174387,35,False
0.7973684210526316,0.9312977099236641,0.6421052631578947,0.7601246105919003,36,False
0.8210526315789474,0.8426966292134831,0.7894736842105263,0.8152173913043478,37,False
